text,label,source
The largest low-wage employer is not McDonalds or Walmart but the U.S. government.,0,LIAR
A majority in every state favors path to citizenship for undocumented immigrants.,1,LIAR
Says some [states] with the largest reductions in crime have also lowered their prison population.,1,LIAR
Chris Koster opposed protecting the women of Missouri because he was one of only four senators to vote against a bill ending the practice of making rape victims pay for their own rape kits.,1,LIAR
"So I told the person that I don’t like that I like this guy, um, like on the football team, he’s like one of our neighbors, one of, like everyone’s closest friends, my closest friend, and my friend’s, the girl I don’t like’s closest friend. And, um, she either ignored me or just didn’t pay attention or anything and then she all of a sudden started dating him and she was kind of talking bad about me to him and pretty much I’m not friends with her, not friends with him anymore and yeah it kind of stinks and she always like, I don’t know, she finds a way to like make fun of me in front of like our mutual friends and I don’t like her.",1,MU3D
"First of all, Expedia.com charged me for an additional person per my instructions but when I arrived at the Hotel these monies were not included and the complimentary breakfast was not offered. The Hotel service person who checked us in forgot to give me back my parking ticket but left a generic message for me stating that there was an envelope at the front desk. I had to wait in line for another 20 minutes to discover this the whole time this person was looking at me and never said a word!! I was charged and paid for parking adjacent to the Hotel. When we went to leave the gate would not open. We had to find the parking garage office and the Manager had to call several times over to the Hotel until finally someone picked up. They confirmed my payment and then we were allowed to leave the structure. The Hotel itself is beautiful!!! The bell hops and doormen were just wonderful. They were more than helpful and gracious but the internal staff were rude and not helpful at all!!!!
",1,Spam
"The Talbott Hotel claims to be Chicago's Premiere Small Luxury Hotel. After staying there and experiencing the service, environment, and the hotel in general, I can say with confidence that this just isn't true. I arrived with rather high expectations due to the claims made by the hotel and some of the reviews posted on their website and I was immediately disappointed. No one came to my car to collect my bags and I was forced to lug them inside myself. The doorman was polite but failed to even open the door for me, leaving me to fend for myself while trying to carry my bags. Once inside, the atmosphere was not what I expected. The lighting was poor, leaving the lobby dark and it looked like a dingy setting with a glossy veneer in an attempt to hide the degenerate state of the building. The carpet looked dirty, as if it hadn't been vacuumed or washed in quite some time, and up in the corners where the walls met the ceilings there was visible water damage. When I arrived at the front desk, I was forced to wait over five minutes until someone came out to help me. After checking in I went up to my room and was once again disappointed. The bed was very uncomfortable and I ran the shower for ten minutes without ever receiving any hot water. That night I ordered room service. The food took 45 minutes to get to my room, and when it finally arrived it was cold. The fitness center had a very small selection of machines which caused long lines while waiting to use them. I would certainly not recommend this hotel to any of my friends, and probably not to my enemies either. Stay away!
",1,Spam
It costs more money to put a person on death row than it does to lock them up for the rest of their lives because of attorney fees.,1,LIAR
"Last weekend my wife and i decided to take a weekend trip to Chicago. When looking for a hotel we weren't all that interested in price, but more of a relaxing getaway in the heart of downtown. I did some research and and came across the Amalfi Hotel Chicago. What sparked my interest was it's location and the fact that they offer in room spa treatments. Located in Chicago's river north area, it is close to the magnificent mile so we can get all of our shopping done while staying relatively close to the hotel and also do some sightseeing along the chicago river on one of many chicago boat tours, both of which were fantastic! After a long day out on the town we came back to the hotel to induldge in their in room spa treatments. My wife got the whole works (facial, manicure and pedicure, and hot stone massage therapy), while i enjoyed a deep tissue massage to get rid of some of the pain from walking around all day! For dinner we went downstairs and enjoyed a fabulous dinner at Harry Caray's Italian Steakhouse. Best steak I've ever had, hands down. When we were finished with dinner we just wanted to go back to our room and relax so we hopped into our comfortable king size bed, put in a movie with their in room dvd players and beautiful 32 inch HDTV's. For anyone looking for a nice relaxing getaway to the great city of Chicago, I would recommend The Amalfi Hotel Chicago to anyone. They offer anything you could ever want in a luxury hotel plus more. 
",1,Spam
Says Ted Cruz wanted to let in more Syrian refugees and give amnesty to illegal immigrants.,1,LIAR
